NOC,Year,Total_num,sport_participant_count,event_participant_count,comprehensive_score,host_country,advantage_event_count,Last_Total,,,Gold,Total
USA,1896,27,3,16,0,0,12,0,,,11,20
USA,1900,135,10,41,0.499171146,0,23,20,,,19,48
USA,1904,1109,18,95,0.425546327,1,86,48,,,76,231
USA,1908,219,10,52,0.418749534,0,90,231,,,23,47
USA,1912,364,11,68,0.3858655,0,97,47,,,26,64
USA,1916,0,0,0,0.381030307,0,97,64,,,0,0
USA,1920,473,18,113,0.371789477,0,114,0,,,41,95
USA,1924,459,18,108,0.390499411,0,125,95,,,45,99
USA,1928,426,15,96,0.386054731,0,71,99,,,22,56
USA,1932,743,17,122,0.35911425,1,74,56,,,44,110
USA,1936,487,21,127,0.359876287,0,65,110,,,24,57
USA,1940,0,0,0,0.349248267,0,65,57,,,0,0
USA,1944,0,0,0,0.327284887,0,51,0,,,0,0
USA,1948,424,19,126,0.30208794,0,41,0,,,38,84
USA,1952,451,18,133,0.391241475,0,51,84,,,40,76
USA,1956,443,19,144,0.376632013,0,40,76,,,32,74
USA,1960,428,17,147,0.364025413,0,46,74,,,0,1
USA,1964,492,19,159,0.366991011,0,50,1,,,36,90
USA,1968,529,18,167,0.363258784,0,59,90,,,45,107
USA,1972,578,21,185,0.364800874,0,57,107,,,33,94
USA,1976,554,19,189,0.360271603,0,54,94,,,34,94
USA,1980,0,0,0,0.355923523,0,47,94,,,0,0
USA,1984,693,25,217,0.328464381,1,60,0,,,83,174
USA,1988,715,27,230,0.368466356,0,59,174,,,36,94
USA,1992,734,28,248,0.366899509,0,54,94,,,37,108
USA,1996,839,31,263,0.35720734,1,53,108,,,44,101
USA,2000,764,31,265,0.358417048,0,50,101,,,37,93
USA,2004,726,31,254,0.354034684,0,55,93,,,36,101
USA,2008,763,32,258,0.355280077,0,46,101,,,36,112
USA,2012,689,31,245,0.361894746,0,58,112,,,48,104
USA,2016,719,33,245,0.366961837,0,57,104,,,46,121
USA,2020,842,44,241,0.363830725,0,117,121,,,39,113
USA,2024,847,47,232,0.357531889,0,125,113,,,40,126
